  County , ORGANIZATION NAME , Address , City ,State, Zip , DISCIPLINE ,Budget Category,   ANNUAL AUDIENCE SERVED ,Regional Arts Council
 ,ISD 112 Community Education,11 Peavey Rd,Chaska,MN,55318,Arts Multipurpose,Under $25K,"2,300",RAC 11
Aitkin,Aitkin Community Education,225 2nd St SW,Aitkin,MN,56431,Other,Under $25K,460,RAC 03
Aitkin,Aitkin County Historical Society,"20 Pacific Street SW, PO Box 215",Aitkin,MN,56431,History,Under $25K,,RAC 03
Aitkin,Great River String Ensemble,23569 435th Ave,Aitkin,MN,56431,Performing Arts,Under $25K,480,RAC 03
Aitkin,"Jaques Art Center, Inc.",121 2nd St NW,Aitkin,MN,56431-1319,VIsual Arts & Architecture,$25K-$100K,"1,300",RAC 03
"Aitkin, Crow Wing, Kanabec, Mille Lacs, Pine",Mille Lacs Band of Ojibwe/History Project,43408 Oodena Drive,Onamia,MN,56359,History,Under $25K,"8,800",RAC 07E
"Aitkin, Mille Lacs, Pine",U of M/Duluth Campus/History Project,"450 McNamara Alumni Center, 200 Oak Street Southeast",Minneapolis,MN,55455,History,$100K-$250-K,,RAC 03
Anoka,Anoka County Historical Society,2135 Third Avenue N,Anoka,MN,55303,History,Under $25K,,RAC 11
Anoka,Banfill-Locke Center for the Arts,6666 River Rd E,Fridley,MN,55432-4229,Arts Multipurpose,$25K-$100K,"8,000",RAC 11
Anoka,Bridgeview Center,7954 University Ave NE,Fridley,MN,55432,VIsual Arts & Architecture,$25K-$100K,"1,000",RAC 11
Anoka,City of Blaine - Arts Programs,10801 Town Square Dr,Blaine,MN,55449,Arts Multipurpose,$25K-$100K,"1,000",RAC 11
Anoka,Fridley Community Theatre,6085 7th St NE,Fridley,MN,55432,Performing Arts,$25K-$100K,"1,700",RAC 11
Anoka,"Lyric Arts Company of Anoka, Inc.",420 East Main Street,Anoka,MN,55303-2341,Performing Arts,$1M-$5M,"28,261",RAC 11
Anoka,Mama Mosaic Theater,4749 5th St NE,Columbia Heights,MN,55421,Performing Arts,$25K-$100K,50,RAC 11
Anoka,Musikgarten of Anoka,1923 Third Ave. S.,Anoka,MN,55303-2422,Performing Arts,$25K-$100K,421,RAC 11
Anoka,North Artists' Studio Crawl,3427 217th Ave NE,East Bethel,MN,55011,VIsual Arts & Architecture,Under $25K,"1,550",RAC 11
Anoka,Northeast Orchestra,1451 Glacier Ln,Fridley,MN,55421-1330,Performing Arts,Under $25K,750,RAC 11
Anoka,Northern Starz Theatre,14418 Wintergreen St NW,Andover,MN,55304,Performing Arts,$25K-$100K,500,RAC 11
Anoka,Northern Symphony Orchestra,832 38th Ave N,Anoka,MN,55303,Performing Arts,Under $25K,"1,000",RAC 11
Anoka,Women of the West Quilters,5925 Hackmann Ave NE,Fridley,MN,55432,VIsual Arts & Architecture,Under $25K,430,RAC 11
"Anoka, Hennepin, Redwood, Renville, Yellow Medicine",Oyate Nipi Kte,2930 Lincoln St. NE,Minneapolis,MN,55418,History,$25K-$100K,"5,100",RAC 11
Becker,DEBWE Youth Organization,1030 Campbell Ave,Detroit Lakes,MN,56501,Arts Multipurpose,Under $25K,950,RAC 04
Becker,Historic Holmes Theatre,806 Summit Ave.,Detroit Lakes,MN,56501-2940,Arts Multipurpose,$250K-$1M,"12,160",RAC 04
Becker,Lake Region Writers Network,1220 Minnesota Ave,Detroit Lakes,MN,56501-3912,Literary Arts,Under $25K,116,RAC 04
