County,FIPS,State,State abr.,metro_2003,civ_employ_07_11,creative_employ_07_11,creative_employ_shared,arts_pooled,arts_pooled_share,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair,pop_med_earnings,avgwages,pop_med_male,pop_med_female
Aitkin County,27001,Minnesota,MN,0,6815,1295,0.19002,55,0.00807,3735,435,117380412,604,15964,13510,7114,7,7107,6531,576,6396,165,17,17,1,25,10,1,1,2,4,1,5,0,3,5,4,9,3,3,1,3,17,7,3,0,3,2,1,0,4,16,3,3,6,1,14,1,1,1,0,33,1,1,0,0,3,24268,11.66730769,29088,20964
Anoka County,27003,Minnesota,MN,1,175685,46900,0.26696,1530,0.00871,116843,6885,5581512952,918,336316,262119,192597,152,192445,178642,13803,69522,4620,18,19,1,26,14,26,41,44,96,37,129,2,86,107,133,252,107,61,14,84,375,121,145,21,85,54,44,10,125,536,30,129,145,64,472,40,41,9,12,851,18,22,9,6,37,38396,18.45961538,44026,32481
Becker County,27005,Minnesota,MN,0,15890,3015,0.18974,105,0.00661,13888,1027,485988851,673,32971,25793,16416,6,16410,15668,742,9377,513,20,20,1,33,16,2,2,5,10,2,16,1,9,14,15,31,12,5,1,8,48,12,7,2,10,6,4,1,17,59,13,10,17,4,51,3,4,3,1,95,2,2,1,1,7,28963,13.92451923,35445,22213
Beltrami County,27007,Minnesota,MN,0,20255,4065,0.20069,210,0.01037,18783,1181,678959948,695,45236,35131,22868,7,22861,20340,2521,12263,588,17,17,1,29,13,3,4,5,10,2,22,2,14,13,16,30,12,5,1,11,40,8,10,2,12,8,4,1,26,68,15,14,37,6,58,7,8,7,3,90,3,3,2,1,4,23443,11.27067308,26753,20785
Benton County,27009,Minnesota,MN,1,20135,3740,0.18575,175,0.00869,17185,929,613163109,686,38980,30263,21442,6,21436,19701,1735,8821,853,17,18,1,43,22,3,5,9,12,2,21,0,7,22,30,58,22,11,2,10,74,20,21,3,25,8,6,2,25,118,17,19,23,5,104,7,6,2,1,139,2,3,1,1,7,30940,14.875,36608,25777
Big Stone County,27011,Minnesota,MN,0,2445,325,0.13292,25,0.01023,1756,205,59354369,649,5180,4235,2536,1,2535,2453,82,1699,58,16,17,1,24,11,0,0,0,1,0,5,0,3,1,2,3,1,0,0,4,3,1,1,0,1,0,1,0,4,7,1,1,1,0,5,0,0,0,0,8,0,0,0,0,1,30864,14.83846154,36944,24260
Blue Earth County,27013,Minnesota,MN,0,36230,7270,0.20066,365,0.01008,38064,1943,1479447172,747,64720,53365,38059,13,38046,35889,2157,15306,1047,18,19,1,29,16,4,10,8,14,3,31,2,31,23,28,51,23,14,3,21,87,28,26,3,39,17,6,3,29,106,18,29,44,10,94,12,17,5,4,174,5,5,6,1,12,22893,11.00625,29088,18167
Brown County,27015,Minnesota,MN,0,13950,2030,0.14552,175,0.01255,13527,807,501360720,712,25513,20596,14104,2,14102,13504,598,6492,397,18,19,1,29,16,4,4,3,4,1,20,1,9,11,10,17,8,5,1,6,42,7,7,1,6,4,2,2,14,39,12,17,26,4,47,3,5,1,1,47,1,1,1,0,4,28251,13.58221154,36531,21987
Carlton County,27017,Minnesota,MN,1,16325,3040,0.18622,185,0.01133,13670,742,541564407,761,35430,28059,17309,50,17259,16103,1156,10750,376,17,18,1,23,11,2,3,4,7,1,13,1,17,9,12,24,9,6,2,6,23,8,8,1,9,4,2,1,13,49,4,11,11,2,41,5,6,1,1,52,1,1,2,0,3,29667,14.26298077,35564,24598
Carver County,27019,Minnesota,MN,1,48275,16705,0.34604,580,0.01202,36410,2260,1793325363,947,94212,70237,53443,0,53443,50888,2555,16794,2296,20,21,1,45,24,33,27,20,44,14,43,0,32,65,53,100,50,31,11,28,223,57,65,29,58,41,23,8,51,221,9,101,63,29,212,36,20,2,8,455,8,12,5,2,8,42400,20.38461538,52166,33469
Cass County,27021,Minnesota,MN,0,12360,2610,0.21117,125,0.01011,9981,825,272729670,526,28499,23084,13254,9,13245,12114,1131,9830,631,17,18,1,52,22,3,2,7,15,3,9,1,14,19,19,37,15,8,3,16,53,19,9,2,10,5,5,1,16,69,3,13,27,4,67,3,4,1,1,130,3,3,1,1,12,25403,12.21298077,31310,19657
Chippewa County,27023,Minnesota,MN,0,6255,1075,0.17186,30,0.00480,5694,422,197515462,667,12235,9803,6611,9,6602,6365,237,3192,196,17,18,1,31,16,3,2,2,2,0,10,0,4,5,5,10,4,3,1,6,16,3,5,0,3,2,1,0,8,21,5,13,7,3,18,1,1,0,0,27,0,1,0,0,1,26916,12.94038462,35551,21461
Chisago County,27025,Minnesota,MN,1,26510,5625,0.21218,260,0.00981,14251,1114,514446690,693,53798,42215,29193,24,29169,27429,1740,13022,512,18,19,1,19,10,3,4,5,17,5,18,0,12,12,14,26,11,8,2,8,36,10,15,2,9,6,5,1,15,59,3,15,20,4,53,4,4,1,1,91,2,3,1,1,5,35666,17.14711538,42362,29703
Clay County,27027,Minnesota,MN,1,31025,6885,0.22192,390,0.01257,18455,1315,670443898,698,60249,47682,34339,55,34284,32598,1686,13343,755,18,18,1,23,13,3,6,8,23,5,39,5,10,21,24,45,20,6,2,14,38,13,8,3,20,8,6,1,27,102,6,17,16,6,82,18,21,2,3,112,2,3,4,1,4,29233,14.05432692,36457,22481
Clearwater County,27029,Minnesota,MN,0,3745,575,0.15354,35,0.00935,2607,217,96730832,711,8735,6813,3913,0,3913,3549,364,2900,93,18,18,1,26,11,0,1,1,3,0,3,0,2,3,3,5,2,2,0,4,8,3,1,0,2,1,1,0,4,11,1,2,3,1,10,0,2,0,0,12,0,0,0,0,1,26604,12.79038462,35278,19407
Cook County,27031,Minnesota,MN,0,2745,795,0.28962,4,0.00146,2790,293,81652947,564,5197,4507,2928,0,2928,2795,133,1579,151,17,17,1,54,29,1,0,2,3,1,2,0,3,3,5,9,3,1,0,3,8,3,2,0,6,2,1,0,4,19,4,2,5,1,17,1,1,0,1,32,1,1,1,0,1,25784,12.39615385,30402,22443
Cottonwood County,27033,Minnesota,MN,0,5680,855,0.15053,40,0.00704,4732,392,159576417,648,11676,9200,5781,0,5781,5501,280,3419,157,18,19,1,29,13,1,1,1,4,1,7,1,4,4,3,6,3,3,1,6,14,4,2,0,2,2,1,0,7,13,5,4,7,2,11,1,1,0,0,31,1,1,0,0,2,26255,12.62259615,33227,20155
Crow Wing County,27035,Minnesota,MN,0,28630,6200,0.21656,245,0.00856,28233,2070,995256519,678,62900,50407,31227,149,31078,28675,2403,19180,659,19,19,1,23,10,4,5,5,13,3,29,1,10,13,14,26,12,7,2,16,66,14,12,2,19,9,3,3,24,63,21,16,39,8,52,7,6,5,2,111,4,4,2,1,8,26689,12.83125,32004,22698
