County,County1,FIPS,State,State1,metro_2003,civ_employ_07_11,creative_employ_07_11,Tot_pop,lab_force,ce_jobs,Med_earn,avg_earn,ce_per_w,ce_per_c,pop_med_earnings,avgwages,avgworkers_to_1ceworker,Cewage_avgwage,counties_ce_wage_higher_avg_wage
Anoka County,Anoka,27003,Minnesota,MN,1,175685,46900,336316,192597,4620,18,19,26,14,38396,18.45961538,41.68766234,-0.45961538,0
Carver County,Carver,27019,Minnesota,MN,1,48275,16705,94212,53443,2296,20,21,45,24,42400,20.38461538,23.27656794,-0.38461538,0
Scott County,Scott,27139,Minnesota,MN,1,69450,22845,135129,77066,1625,20,21,22,12,43429,20.87932692,47.42523077,-0.87932692,0
Wright County,Wright,27171,Minnesota,MN,1,64310,16520,127386,71058,1295,18,19,19,10,38468,18.49423077,54.87104247,-0.49423077,0
Aitkin County,Aitkin,27001,Minnesota,MN,0,6815,1295,15964,7114,165,17,17,25,10,24268,11.66730769,43.11515152,5.33269231,1
Becker County,Becker,27005,Minnesota,MN,0,15890,3015,32971,16416,513,20,20,33,16,28963,13.92451923,32,6.07548077,1
Beltrami County,Beltrami,27007,Minnesota,MN,0,20255,4065,45236,22868,588,17,17,29,13,23443,11.27067308,38.89115646,5.72932692,1
Benton County,Benton,27009,Minnesota,MN,1,20135,3740,38980,21442,853,17,18,43,22,30940,14.875,25.13716295,2.125,1
Big Stone County,Big Stone,27011,Minnesota,MN,0,2445,325,5180,2536,58,16,17,24,11,30864,14.83846154,43.72413793,1.16153846,1
Blue Earth County,Blue Earth,27013,Minnesota,MN,0,36230,7270,64720,38059,1047,18,19,29,16,22893,11.00625,36.35052531,6.99375,1
Brown County,Brown,27015,Minnesota,MN,0,13950,2030,25513,14104,397,18,19,29,16,28251,13.58221154,35.52644836,4.41778846,1
Carlton County,Carlton,27017,Minnesota,MN,1,16325,3040,35430,17309,376,17,18,23,11,29667,14.26298077,46.03457447,2.73701923,1
Cass County,Cass,27021,Minnesota,MN,0,12360,2610,28499,13254,631,17,18,52,22,25403,12.21298077,21.00475436,4.78701923,1
Chippewa County,Chippewa,27023,Minnesota,MN,0,6255,1075,12235,6611,196,17,18,31,16,26916,12.94038462,33.72959184,4.05961538,1
Chisago County,Chisago,27025,Minnesota,MN,1,26510,5625,53798,29193,512,18,19,19,10,35666,17.14711538,57.01757813,0.85288462,1
Clay County,Clay,27027,Minnesota,MN,1,31025,6885,60249,34339,755,18,18,23,13,29233,14.05432692,45.48211921,3.94567308,1
Clearwater County,Clearwater,27029,Minnesota,MN,0,3745,575,8735,3913,93,18,18,26,11,26604,12.79038462,42.07526882,5.20961538,1
Cook County,Cook,27031,Minnesota,MN,0,2745,795,5197,2928,151,17,17,54,29,25784,12.39615385,19.39072848,4.60384615,1
Cottonwood County,Cottonwood,27033,Minnesota,MN,0,5680,855,11676,5781,157,18,19,29,13,26255,12.62259615,36.82165605,5.37740385,1
Crow Wing County,Crow Wing,27035,Minnesota,MN,0,28630,6200,62900,31227,659,19,19,23,10,26689,12.83125,47.38543247,6.16875,1
Dakota County,Dakota,27037,Minnesota,MN,1,215670,66755,405521,234096,8364,21,22,38,21,40355,19.40144231,27.98852224,1.59855769,1
Dodge County,Dodge,27039,Minnesota,MN,1,10675,1865,20246,11259,232,18,19,22,11,36205,17.40625,48.53017241,0.59375,1
Douglas County,Douglas,27041,Minnesota,MN,0,18320,4275,36413,19480,508,18,18,28,14,29898,14.37403846,38.34645669,3.62596154,1
Faribault County,Faribault,27043,Minnesota,MN,0,7200,1050,14337,7428,154,18,18,22,11,27692,13.31346154,48.23376623,4.68653846,1
Fillmore County,Fillmore,27045,Minnesota,MN,0,10455,1550,20842,10931,247,17,18,24,12,30444,14.63653846,44.25506073,2.36346154,1
Freeborn County,Freeborn,27047,Minnesota,MN,0,15725,2075,31034,16127,319,19,20,21,10,27777,13.35432692,50.55485893,5.64567308,1
Goodhue County,Goodhue,27049,Minnesota,MN,0,23975,4460,46336,25138,550,18,19,23,12,31861,15.31778846,45.70545455,2.68221154,1
Grant County,Grant,27051,Minnesota,MN,0,2955,530,5977,3119,79,17,17,27,13,30151,14.49567308,39.48101266,2.50432692,1
Hennepin County,Hennepin,27053,Minnesota,MN,1,614325,215220,1184091,681820,39399,24,25,62,33,37402,17.98173077,17.30551537,6.01826923,1
Houston County,Houston,27055,Minnesota,MN,1,10090,1965,18859,10326,311,18,19,32,16,30726,14.77211538,33.20257235,3.22788462,1
Hubbard County,Hubbard,27057,Minnesota,MN,0,8950,1820,20518,10008,170,17,17,18,8,25773,12.39086538,58.87058824,4.60913462,1
Isanti County,Isanti,27059,Minnesota,MN,1,18455,3745,38190,20976,639,18,18,33,17,31601,15.19278846,32.82629108,2.80721154,1
Itasca County,Itasca,27061,Minnesota,MN,0,19770,3735,45303,21507,418,17,17,21,9,25168,12.1,51.45215311,4.9,1
Jackson County,Jackson,27063,Minnesota,MN,0,5390,945,10260,5583,133,16,17,25,13,29249,14.06201923,41.97744361,1.93798077,1
Kanabec County,Kanabec,27065,Minnesota,MN,0,7490,1125,16084,8089,170,17,17,24,11,26970,12.96634615,47.58235294,4.03365385,1
Kandiyohi County,Kandiyohi,27067,Minnesota,MN,0,21900,4080,42316,23145,528,18,19,24,12,27762,13.34711538,43.83522727,4.65288462,1
Kittson County,Kittson,27069,Minnesota,MN,0,2240,295,4501,2243,59,17,17,27,13,29004,13.94423077,38.01694915,3.05576923,1
Koochiching County,Koochiching,27071,Minnesota,MN,0,5970,880,13138,6359,90,17,17,15,7,25741,12.37548077,70.65555556,4.62451923,1
Lac qui Parle County,Lac qui Parle ,27073,Minnesota,MN,0,3640,585,7096,3613,103,16,17,30,15,28681,13.78894231,35.0776699,2.21105769,1
Lake County,Lake,27075,Minnesota,MN,0,5340,965,10791,5121,168,17,17,35,16,30688,14.75384615,30.48214286,2.24615385,1
Lake of the Woods County,Lake of the Woods,27077,Minnesota,MN,0,2045,350,3976,2064,49,17,17,25,12,26169,12.58125,42.12244898,4.41875,1
Le Sueur County,Le Sueur,27079,Minnesota,MN,0,14560,2680,27717,15400,394,18,18,27,14,32918,15.82596154,39.08629442,2.17403846,1
Lincoln County,Lincoln,27081,Minnesota,MN,0,3030,480,5821,3072,62,18,19,21,11,30073,14.45817308,49.5483871,3.54182692,1
Lyon County,Lyon,27083,Minnesota,MN,0,14170,2610,25724,14766,312,18,19,22,12,28309,13.61009615,47.32692308,4.38990385,1
McLeod County,McLeod,27085,Minnesota,MN,0,19050,3970,36172,19672,38,16,17,2,1,31357,15.07548077,517.6842105,0.92451923,1
Mahnomen County,Mahnomen,27087,Minnesota,MN,0,2260,280,5486,2439,93,17,17,42,17,25610,12.3125,26.22580645,4.6875,1
Marshall County,Marshall,27089,Minnesota,MN,0,4795,855,9447,5020,209,17,18,44,22,31509,15.14855769,24.01913876,1.85144231,1
Martin County,Martin,27091,Minnesota,MN,0,10315,1915,20515,10875,405,17,18,39,20,28028,13.475,26.85185185,3.525,1
Meeker County,Meeker,27093,Minnesota,MN,0,11550,1855,23147,12141,328,17,17,29,14,31155,14.97836538,37.0152439,2.02163462,1
Mille Lacs County,Mille Lacs,27095,Minnesota,MN,0,12145,1890,25891,12834,200,18,18,17,8,28179,13.54759615,64.17,4.45240385,1
Morrison County,Morrison,27097,Minnesota,MN,0,16030,2175,33054,17629,395,18,19,24,12,29055,13.96875,44.63037975,4.03125,1
Mower County,Mower,27099,Minnesota,MN,0,19185,3225,39312,20391,369,18,19,19,9,30536,14.68076923,55.2601626,3.31923077,1
Murray County,Murray,27101,Minnesota,MN,0,4475,750,8586,4482,113,17,17,26,13,30014,14.42980769,39.66371681,2.57019231,1
Nicollet County,Nicollet,27103,Minnesota,MN,0,18380,4555,32923,19360,531,18,19,29,16,30566,14.69519231,36.45951036,3.30480769,1
Nobles County,Nobles,27105,Minnesota,MN,0,10735,1235,21589,11090,227,17,18,22,11,27297,13.12355769,48.85462555,3.87644231,1
Norman County,Norman,27107,Minnesota,MN,0,3290,460,6725,3343,78,17,18,24,12,28429,13.66778846,42.85897436,3.33221154,1
Olmsted County,Olmsted,27109,Minnesota,MN,1,77300,19415,147431,82864,2580,20,21,33,18,36887,17.73413462,32.11782946,2.26586538,1
Otter Tail County,Otter Tail,27111,Minnesota,MN,0,27675,5245,57417,29165,588,18,18,21,10,29875,14.36298077,49.60034014,3.63701923,1
Pennington County,Pennington,27113,Minnesota,MN,0,7470,1610,14041,7807,243,16,17,32,17,28658,13.77788462,32.12757202,2.22211538,1
Pine County,Pine,27115,Minnesota,MN,0,13135,2165,29347,14149,188,17,17,15,6,24698,11.87403846,75.2606383,5.12596154,1
Pipestone County,Pipestone,27117,Minnesota,MN,0,4785,650,9407,4914,90,19,19,19,10,27074,13.01634615,54.6,5.98365385,1
Polk County,Polk,27119,Minnesota,MN,1,15770,2810,31630,16540,286,19,19,18,9,29938,14.39326923,57.83216783,4.60673077,1
Pope County,Pope,27121,Minnesota,MN,0,5650,1085,10946,5686,167,17,17,31,15,30371,14.60144231,34.04790419,2.39855769,1
Ramsey County,Ramsey,27123,Minnesota,MN,1,255265,78070,521265,283798,13219,21,23,51,25,31858,15.31634615,21.46894621,5.68365385,1
Red Lake County,Red Lake,27125,Minnesota,MN,0,2120,465,4071,2204,14,18,19,6,3,29796,14.325,157.4285714,3.675,1
Redwood County,Redwood,27127,Minnesota,MN,0,7720,1260,15834,8034,154,17,18,20,10,28793,13.84278846,52.16883117,3.15721154,1
Renville County,Renville,27129,Minnesota,MN,0,7890,1170,15326,8035,113,17,18,15,7,30301,14.56778846,71.10619469,2.43221154,1
Rice County,Rice,27131,Minnesota,MN,0,32770,7095,64829,35632,787,19,20,24,12,25439,12.23028846,45.27573062,6.76971154,1
Rock County,Rock,27133,Minnesota,MN,0,4870,685,9587,4907,85,17,17,18,9,27958,13.44134615,57.72941176,3.55865385,1
Roseau County,Roseau,27135,Minnesota,MN,0,8360,1260,15545,8626,185,17,18,22,12,31768,15.27307692,46.62702703,1.72692308,1
Saint Louis County,Saint Louis,27137,Minnesota,MN,1,94740,20650,200563,103194,2732,17,18,29,14,26104,12.55,37.77232796,4.45,1
Sherburne County,Sherburne,27141,Minnesota,MN,1,44655,10295,89770,49583,835,18,19,18,9,36289,17.44663462,59.38083832,0.55336538,1
Sibley County,Sibley,27143,Minnesota,MN,0,7900,1160,15096,8325,109,17,18,14,7,30983,14.89567308,76.37614679,2.10432692,1
Stearns County,Stearns,27145,Minnesota,MN,1,79870,15515,151728,87205,1862,18,19,23,12,28114,13.51634615,46.83404941,4.48365385,1
Steele County,Steele,27147,Minnesota,MN,0,19040,3825,36472,19689,430,18,19,23,12,33462,16.0875,45.78837209,1.9125,1
Stevens County,Stevens,27149,Minnesota,MN,0,4905,1085,9748,5379,112,16,17,22,11,23627,11.35913462,48.02678571,4.64086538,1
Swift County,Swift,27151,Minnesota,MN,0,4700,755,9602,5193,78,16,17,16,8,30118,14.47980769,66.57692308,1.52019231,1
Todd County,Todd,27153,Minnesota,MN,0,11765,1390,24588,12085,178,17,18,16,7,27561,13.25048077,67.89325843,3.74951923,1
Traverse County,Traverse,27155,Minnesota,MN,0,1770,230,3455,1707,37,17,18,22,11,27425,13.18509615,46.13513514,3.81490385,1
Wabasha County,Wabasha,27157,Minnesota,MN,1,11665,1955,21485,11822,180,20,20,16,8,32687,15.71490385,65.67777778,4.28509615,1
Wadena County,Wadena,27159,Minnesota,MN,0,5995,925,13754,6122,105,17,18,18,8,24651,11.85144231,58.3047619,5.14855769,1
Waseca County,Waseca,27161,Minnesota,MN,0,9740,1685,19127,9992,160,18,19,17,8,30072,14.45769231,62.45,3.54230769,1
Washington County,Washington,27163,Minnesota,MN,1,123575,40815,244103,135984,3043,20,20,24,12,41534,19.96826923,44.68747946,0.03173077,1
Watonwan County,Watonwan,27165,Minnesota,MN,0,5690,620,11151,5957,68,16,17,12,6,28250,13.58173077,87.60294118,2.41826923,1
