ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
Marine Library Association/Marine Community LibraryHistory Project,History,$997,0,,121 Judd Street,P.O. Box 85,Marine on St. Croix,55047,Washington,MN
Goodhue County Historical Society/History Center,History,"$408,268","6,415","1,160",1166 Oak St,,Red Wing,55066,Goodhue,MN
National Eagle Center,Other,"$1,276,309","104,316","29,785",50 Pembroke Ave,,Wabasha,55981,Minnesota,MN
Lake City Area Arts,Arts Multipurpose,"$4,675",310,60,,,Lake City,,Wabasha,MN
City of Moorhead Parks and Recreation/FacilitiesArts and Cultural Budget items only,Other," $490,409 ",0,, 324 South 24th Street ,,Moorhead,56560,Clay,MN
Concord Singers,Performing Arts,"$16,115","8,925","1,275", 1 N Minnesota St,PO Box 492,New Ulm,56073-0492,Brown,MN
One World Many Papers,Visual Arts & Architecture,"$78,940",200,50, 212 N 2nd St,PO Box 18568,Minneapolis,55401,Hennepin,MN
Isle Rec and Ed Center (IREC) Arts Project,Other,"$3,000","2,323",262, 610 Mille Lacs Ave,PO Box 921,Isle,56342,Mille Lacs,MN
Growing West SideArts Project,Other,"$4,961","6,000","3,000",1 George St E,PO Box 7082,Saint Paul,55107,Ramsey,MN
Carleton CollegeHistory Project,History,"$20,000",0,,1 North College Street,,Northfield,55057,Rice,MN
New Ulm Oktoberfest Arts Activities,Performing Arts,"$14,965 ",10000,,1 North Minnesota Street,PO Box 384,New Ulm,56073,Brown,MN
State Street Theater Company,Performing Arts,"$36,157","2,568",100,1 State St N,,New Ulm,56073,Brown,MN
Grant CountyArts Project,Other,"$13,022","5,500",500,10 2nd St NE,,Elbow Lake,56531,Grant,MN
Minnesota Childrens Museum,Arts Multipurpose,"$7,274,273","530,000","265,000",10 7th St W,,Saint Paul,55102,Ramsey,MN
Bell Museum of Natural HistoryU of MN,Other,"$2,640,328","175,971","39,038",10 Church Street SE,,Minneapolis,55455-0104,Hennepin,MN
City of MankatoArts Project,Other,"$7,940","10,000","3,000",10 Civic Center Plz,,Mankato,56002-3368,Blue Earth,MN
"Whittier Alliance, Festivals",Arts Multipurpose,"$324,040",,,10 East 25th Street,,Minneapolis,55404,Hennepin,MN
Hermann Monument Society,History,"$13,650","4,000",500,10 Monument St,,New Ulm,56073,Brown,MN
Itasca County Historical Society  ,History,"$150,450",0,,10 Northwest 5th Street #3a,,Grand Rapids,55744,Itasca,MN
Wells Historical Society,History,"$14,762",0,,"100 1st Ave NW, Wells",PO Box 43 ,Wells,56097,Fairbault,MN
Twin Cities Carifest,Arts Multipurpose,"$46,000","5,000","1,000",100 1st St S,,Minneapolis,55458,Hennepin,MN
Gooseberry Park Players,Performing Arts,"$78,700","2,600",800,100 22nd Avenue South,PO Box 362,Moorhead,56560,Clay,MN
International Festival of Burnsville,Arts Multipurpose,"$44,050","4,900","1,700",100 Civic Center Pkwy,,Burnsville,55337-3817,Dakota,MN
Riverblenders Chorus of Mankato,Performing Arts,"$5,400",450,100,100 Dublin Rd,,Mankato,56001,Blue Earth,MN
Le Sueur County Historical Society,History,$95,150,,100 E Minnesota Street,PO Box 123,Le Center,56057,Le Sueur,MN
Crow River Youth Choir,Performing Arts,"$3,830",160,80,100 Glen Street SW,PO Box 667,Hutchinson,55350,McLeod,MN
Minnesota Folklore Theater,Performing Arts,"$54,330","3,318",475,100 Highland Ave,,Walker,56484,Cass,MN
Hutchinson Community Video Network/HCVN,Media & Communications,"$151,664",0,0,100 Jefferson St SE,,Hutchinson,55350,McLeod,MN
Saint Louis CountyArts Project,Visual Arts & Architecture,"$20,000","7,500","2,500",100 N 5th Ave W,,Duluth,55802,St. Louis,MN
Singers Minnesota Choral Artists,Performing Arts,"$249,073","18,300",300,100 N Oxford St Ste 2,,Saint Paul,55104,Ramsey,MN
Sleepy Eye Area Historical Society and Restoration Project,History,"$17,354",250,50,100 Oak St NW,,Sleepy Eye,56085,Brown,MN
Proctor Area Historical Society,History,"$32,295",0,0,100 Pionk Drive,,Proctor,55810,St. Louis,MN
"Vasaloppet, Inc.",Visual Arts & Architecture,"$15,000","2,000",100,100 S Union St,PO Box 22,Mora,55051,Kanabec,MN
Underwood Community EducationArts Project,Other,"$2,650",340,110,100 Southern Ave,,Underwood,56586-7013,Otter Tail,MN
Heritage Park Neighborhood AssociationArts Project,Other,"$50,987",40,10,1000 Olson Memorial Hwy,,Minneapolis,55411,Hennepin,MN
Rushford Area Society of the Arts,Arts Multipurpose,"$13,400","1,340",120,1000 Pine Meadows Lane,PO Box 332,Rushford,55971,Fillmore,MN
Choral Arts Ensemble of Rochester,Performing Arts,"$263,966","10,296",446,1001 14th St NW,,Rochester,55901,Olmsted,MN
Honors Choirs of Southeast Minnesota,Performing Arts,"$653,582","14,300","5,000",1001 14th St NW,,Rochester,55901-2534,Olmsted,MN
Southeastern Minnesota Youth Orchestras,Performing Arts,"$164,871","2,657","1,573",1001 14th St NW,,Rochester,55901,Olmsted,MN
MDI Hired HandsArts Project,Other,"$7,760",200,0,1001 3rd St NW,,Cohasset,55721,Itasca,MN
"Range Center, Inc. SoHo Artists",Arts Multipurpose,"$21,970",39,0,1001 8th Ave NW,,Chisholm,55719-1148,St. Louis,MN
Stage North Theatre Company,Performing Arts,"$23,812","2,600",500,1001 Kingwood St,,Brainerd,56401,Crow Wing,MN
The Apollo Club,Performing Arts,"$120,262 ",1200,,1001 MN-7,P.O. Box 300541,Hopkins,55305,Hennepin,MN
RiverSong Music Festival,Performing Arts,"$146,188","4,340","1,500",1003 Les Kouba Parkway Northwest,PO Box 667,Hutchinson,55350,McLeod,MN
I Cantanti Chamber Choirs,Performing Arts,"$14,901",720,20,1003 Maple St,,Northfield,55057-2918,Rice,MN
Minnesota Discovery Center,History,"$1,806,833","25,215","3,311",1005 Discovery Dr,,Chisholm,55719,St. Louis,MN
Arts and Mentoring Project,Performing Arts,"$1,655",1,0,1006 5th Ave SW,,Pipestone,56164,Pipestone,MN
1006 Summit Avenue Society (Governors Mansion),History,"$18,899",0,0,1006 Summit Avenue,,Saint Paul,55105,Ramsey,MN
The SEAD Project,Arts Multipurpose,"$5,000",400,100,1007 W Broadway Ave,,Minneapolis,55411,Hennepin,MN
Edge of the Wilderness Community Center,Arts Multipurpose,"$157,140","2,481",571,101 2nd Ave,,Bigfork ,56628,Itasca,MN
Tri City United Community EducationArts Project,Other,"$2,060",125,25,101 2nd St NE,,Montgomery,56069-1529,Le Sueur,MN
Curtain Call Theatre,Performing Arts,"$37,100","2,900",700,101 2nd Street Northeast,PO Box 91,Montgomery,56069-0091,Le Sueur,MN
Mardag Foundation,History,"$584,350",0,,101 5th St E,Suite 2400,Saint Paul,55101,Hennepin,MN
Saint Paul Foundation (The),Other,"$498,500",,,101 5th St E #2400,,Saint Paul,55101,Ramsey,MN
Perham Center for the Arts,Arts Multipurpose,"$56,866","2,100",300,101 5th St NE,,Perham,56573,Otter Tail,MN
Bush Foundation,Other,"$300,000",0,,101 5th Street East #2400,,Saint Paul,55101,Ramsey,MN
Maple River Community EducationArts Project,Other,"$8,060",200,100,101 6th Avenue Southeast,PO Box 515,Mapleton,56065,Blue Earth,MN
F. R. Bigelow Foundation,Other,"$605,500",0,,101 Fifth St E,Suite 2400,Saint Paul,55101,Hennepin,MN
Thief River Falls Concert Series,Performing Arts,"$48,579",300,,101 Knight Ave S,PO Box 312,Thief River Falls,56701,Pennington,MN
City of MoraArts Project,Other,"$2,000","1,800",300,101 Lake St S,,Mora,55051,Kanabec,MN
Helping Hands OutreachArts Project,Other,"$15,411",441,50,101 Plymouth St,PO Box 293,Holdingford,56340,Stearns,MN
Mille Lacs County Historical Society/Depot Museum,History,"$290,445",0,0,101 South Tenth Avenue,,Princeton,55371,Mille Lacs,MN
Hopkins Historical Society/Hopkins Activity Center,History,"$56,969","3,030",30,1010 1st Street S,,Hopkins,55343,Hennepin,MN
Prairie Piecemakers Quilt Guild,Visual Arts & Architecture,"$7,500",960,10,1010 Center St,,New Ulm,56073,Brown,MN
Salvation Army Harbor Light CenterArts Project,Other,"$27,477",30,0,1010 Currie Ave N,,Minneapolis,55403,Hennepin,MN
Visual Arts Minnesota,Visual Arts & Architecture,"$64,221",729,229,1010 W St Germain St,PO Box 972,Saint Cloud,56302,Stearns,MN
West Broadway Business and Area CoalitionArts Project,Other,"$31,200","5,000","1,000",1011 Broadway Ave W,,Minneapolis,55411,Hennepin,MN
"Milkweed Editions, Inc.",Literary & Arts,"$1,803,733","368,426","92,106",1011 Washington Ave S,,Minneapolis,55415-3015,Hennepin,MN
The Loft Literary Center,Literary & Arts,"$2,170,763","30,000","10,000",1011 Washington Ave S,,Minneapolis,55415-1278,Hennepin,MN
Minnesota Center for Book Arts,Visual Arts & Architecture,"$996,608","81,311","39,028",1011 Washington Ave S,,Minneapolis,55415-1279,Hennepin,MN
Open Book/Minnesota Book and Literary Arts Building,Literary & Arts,"$720,594","144,000",,1011 Washington Avenue South Suite 200,,Minneapolis,55415,Hennepin,MN
Prairie Arts Continuum,Performing Arts,"$31,800","1,551",331,1012 Fifth Avenue,PO Box 6,Windom,56101,Cottonwood,MN
Rock County Fine Arts Association,Visual Arts & Architecture,"$4,205",185,35,1013 150th Ave,,Luverne,56156-4206,Rock,MN
Magic Smelt Puppet Troupe,Performing Arts,"$10,500",750,350,1014 Lake Ave S,,Duluth,55802,St. Louis,MN
Alive and Kickin,Performing Arts,"$196,416","5,120",120,1015 4th Ave N,,Minneapolis,55405,Hennepin,MN
"Friends of St. Rose, Inc.History Project",History,"$6,859",0,,10155 505th Street,,Kenyon,55946,Goodhue,MN
Echoes of Peace Choir,Performing Arts,"$13,000",450,100,1018 Bong Blvd,PO Box 3076,Duluth,55803,St. Louis,MN
"Pine River Area Foundation, Inc.",Visual Arts & Architecture,"$7,965","1,230",300,102 Barclay Ave W,,Pine River,56474,Cass,MN
"Heritage Group North, Inc.",History,"$3,659",0,,102 Barclay Avenue,PO Box 266,Pine River,56474,"Cass, Crow Wing",MN
Clinton Depot,History,"$2,000",200,0,102 Center St,,Clinton,56278,Big Stone,mn
Polish Cultural Institute,History,"$77,931",0,,102 Liberty Street,,Winona,55987,Winona,MN
Thief River Falls Chamber of CommerceArts Project,Other,"$12,443","3,700","1,000",102 Main Ave N,,Thief River Falls,56701,Pennington,MN
