Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,,,In labor force:,"7,114"
27001,05000US27001,"Aitkin County, Minnesota","Aitkin County, Minnesota",mn,50,0,ACSSF,13,27,1,15964,13510,7114,7,7107,6531,576,6396,,,In Armed Forces,7
27003,05000US27003,"Anoka County, Minnesota","Anoka County, Minnesota",mn,50,0,ACSSF,14,27,3,336316,262119,192597,152,192445,178642,13803,69522,,,Civilian:,"7,107"
27005,05000US27005,"Becker County, Minnesota","Becker County, Minnesota",mn,50,0,ACSSF,15,27,5,32971,25793,16416,6,16410,15668,742,9377,,,Employed,"6,531"
27007,05000US27007,"Beltrami County, Minnesota","Beltrami County, Minnesota",mn,50,0,ACSSF,16,27,7,45236,35131,22868,7,22861,20340,2521,12263,,,Unemployed,576
27009,05000US27009,"Benton County, Minnesota","Benton County, Minnesota",mn,50,0,ACSSF,17,27,9,38980,30263,21442,6,21436,19701,1735,8821,,,Not In labor force,"6,396"
27011,05000US27011,"Big Stone County, Minnesota","Big Stone County, Minnesota",mn,50,0,ACSSF,18,27,11,5180,4235,2536,1,2535,2453,82,1699,,,,
27013,05000US27013,"Blue Earth County, Minnesota","Blue Earth County, Minnesota",mn,50,0,ACSSF,19,27,13,64720,53365,38059,13,38046,35889,2157,15306,,,,
27015,05000US27015,"Brown County, Minnesota","Brown County, Minnesota",mn,50,0,ACSSF,20,27,15,25513,20596,14104,2,14102,13504,598,6492,,,,
27017,05000US27017,"Carlton County, Minnesota","Carlton County, Minnesota",mn,50,0,ACSSF,21,27,17,35430,28059,17309,50,17259,16103,1156,10750,,,,
27019,05000US27019,"Carver County, Minnesota","Carver County, Minnesota",mn,50,0,ACSSF,22,27,19,94212,70237,53443,0,53443,50888,2555,16794,,,,
27021,05000US27021,"Cass County, Minnesota","Cass County, Minnesota",mn,50,0,ACSSF,23,27,21,28499,23084,13254,9,13245,12114,1131,9830,,,,
27023,05000US27023,"Chippewa County, Minnesota","Chippewa County, Minnesota",mn,50,0,ACSSF,24,27,23,12235,9803,6611,9,6602,6365,237,3192,,,,
27025,05000US27025,"Chisago County, Minnesota","Chisago County, Minnesota",mn,50,0,ACSSF,25,27,25,53798,42215,29193,24,29169,27429,1740,13022,,,,
27027,05000US27027,"Clay County, Minnesota","Clay County, Minnesota",mn,50,0,ACSSF,26,27,27,60249,47682,34339,55,34284,32598,1686,13343,,,,
