OID,AREA,PERIMETER,COUNTY_,COUNTY_ID,COUNTY,CNTYKEY,POPREC,BIGNAME,NAME,FIPS,ED_REG,NAME_1,areaname,periodyear,stfips,areatype,area_1,empYear,avg_estabY,totwageYea,avgwkwageY,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ce_jobs_12,civ_employ,creative_e,Tot_pop_12,lab_forc_2,ce_jobs_13,Med_earn_2,avg_earn_2,ce_per_w_1,ce_per_c_2,pop_med_ea,avgwages,avgworkers,Cewage_avg_dif,counties_c,currency,avg_cewages
0,4595800000,390261.031,2,1,077,40,40,Lake of the Woods,Lake of the Woods,77,2,Lake of the Woods,Lake of the Woods County,2014,27,4,77,1584,172,"$45,069,981.00",$547.00,3976,3320,2064,0,2064,1986,78,1256,49,$16.61,$17.02,0.68,24.8,12.4,25,2045,350,3976,2064,49,$17.00,$17.00,25,12,26169,12.58,42.12244898,$4.42,1,$,$12.58125
1,2861200000,263162.25,3,1,069,36,36,Kittson,Kittson,69,1,Kittson,Kittson County,2014,27,4,69,1485,187,"$52,925,890.00",$685.00,4501,3617,2243,0,2243,2180,63,1374,59,$16.60,$17.06,0.62,27,13.1,27,2240,295,4501,2243,59,$17.00,$17.00,27,13,29004,13.94,38.01694915,$3.06,1,$,$13.94423077
2,4348300000,302758.188,4,1,135,69,69,Roseau,Roseau,135,1,Roseau,Roseau County,2014,27,4,135,8911,440,"$397,014,213.00",$856.00,15545,12220,8626,2,8624,8329,295,3594,185,$17.38,$17.82,0.49,22.2,11.9,22,8360,1260,15545,8626,185,$17.00,$18.00,22,12,31768,15.27,46.62702703,$1.73,1,$,$15.27307692
3,8163700000,412808.188,5,1,071,37,37,Koochiching,Koochiching,71,3,Koochiching,Koochiching County,2014,27,4,71,4766,414,"$177,266,007.00",$715.00,13138,10852,6359,0,6359,5887,472,4493,90,$16.85,$17.29,0.54,15.3,6.9,15,5970,880,13138,6359,90,$17.00,$17.00,15,7,25741,12.38,70.65555556,$4.62,1,$,$12.37548077
4,17492000000,679764.688,6,1,137,70,70,St Louis,St Louis,137,3,St Louis,Saint Louis County,2014,27,4,137,96349,5245,$0.00,$804.00,200563,166296,103194,204,102990,94870,8120,63102,2732,$17.48,$18.34,0.95,28.8,13.6,14,94740,20650,200563,103194,2732,$17.00,$18.00,29,14,26104,12.55,37.77232796,$4.45,1,$,$12.55
5,4698500000,374288.125,7,1,089,46,46,Marshall,Marshall,89,1,Marshall,Marshall County,2014,27,4,89,2378,308,"$92,054,726.00",$743.00,5486,3969,2439,0,2439,2190,249,1530,93,$16.57,$16.99,0.63,42.3,16.9,42,4795,855,9447,5020,209,$17.00,$18.00,44,22,31509,15.15,24.01913876,$1.85,1,$,$15.14855769
6,7911800000,429474.781,8,1,007,5,5,Beltrami,Beltrami,7,2,Beltrami,Beltrami County,2014,27,4,7,18783,1181,"$678,959,948.00",$695.00,45236,35131,22868,7,22861,20340,2521,12263,588,$16.81,$17.37,0.8,28.9,13,29,20255,4065,45236,22868,588,$17.00,$17.00,29,13,23443,11.27,38.89115646,$5.73,1,$,$11.27067308
7,4159200000,413645.219,9,1,031,17,17,Cook,Cook,31,3,Cook,Cook County,2014,27,4,31,2790,293,"$81,652,947.00",$564.00,5197,4507,2928,0,2928,2795,133,1579,151,$16.58,$16.96,1.14,53.8,29,54,2745,795,5197,2928,151,$17.00,$17.00,54,29,25784,12.40,19.39072848,$4.60,1,$,$12.39615385
8,5178400000,458850.375,10,1,119,61,61,Polk,Polk,119,1,Polk,Polk County,2014,27,4,119,12234,965,"$435,761,580.00",$684.00,31630,25028,16540,36,16504,15671,833,8488,286,$18.82,$19.45,0.63,18.2,9,18,15770,2810,31630,16540,286,$19.00,$19.00,18,9,29938,14.39,57.83216783,$4.61,1,$,$14.39326923
9,1602200000,190068.453,11,1,113,58,58,Pennington,Pennington,113,1,Pennington,Pennington County,2014,27,4,113,10288,420,"$419,549,592.00",$783.00,14041,11055,7807,0,7807,7514,293,3248,243,$16.28,$16.79,0.66,32.3,17.3,32,7470,1610,14041,7807,243,$16.00,$17.00,32,17,28658,13.78,32.12757202,$2.22,1,$,$13.77788462
