OID,AREA,PERIMETER,COUNTY_,COUNTY,CNTYKEY,POPREC,BIGNAME,FIPS,ED_REG,NAME_1,areaname,periodyear,stfips,areatype,area_1,totwageYea,avgwkwageY,Tot_pop,lab_force,ce_jobs,Med__ce_earn,avg_ce_earn,lq,ce_per_w,ce_per_c,ce_jobs_12,civ_employ,creative_e,Tot_pop_12,lab_forc_2,ce_jobs_13,pop_med_ea,avgotherwages,avgworkers,Cewage_avg_dif,counties_c,avg_cewages,avg_ce_wages2,avg_other_wages,ce_per_1000
20,5163800000,309991.406,42,1,2,2,Aitkin,1,3,Aitkin,Aitkin County,2014,27,4,1,"$117,380,412.00 ",$604.00 ,15964,7114,165,$16.93 ,$17.31 ,0.8,25.3,10.3,25,6815,1295,15964,7114,165,24268,11.67,43.11515152,$5.33 ,1,$11.67 ,17.3052984,15.1,25.2536365
45,1154900000,153804.359,68,3,3,3,Anoka,3,11,Anoka,Anoka County,2014,27,4,3,$0.00 ,$918.00 ,336316,192597,4620,$18.08 ,$18.86 ,0.93,25.9,13.7,26,175685,46900,336316,192597,4620,38396,18.46,41.68766234,($0.46),0,$18.46 ,18.85794796,22.95,25.86418367
19,3743600000,253762.562,40,5,4,4,Becker,5,4,Becker,Becker County,2014,27,4,5,"$485,988,851.00 ",$673.00 ,32971,16416,513,$19.65 ,$20.11 ,0.73,32.7,15.6,33,15890,3015,32971,16416,513,28963,13.92,32,$6.08 ,1,$13.92 ,20.11234662,16.825,32.73635435
6,7911800000,429474.781,8,7,5,5,Beltrami,7,2,Beltrami,Beltrami County,2014,27,4,7,"$678,959,948.00 ",$695.00 ,45236,22868,588,$16.81 ,$17.37 ,0.8,28.9,13,29,20255,4065,45236,22868,588,23443,11.27,38.89115646,$5.73 ,1,$11.27 ,17.37045209,17.375,28.9329941
34,1069000000,147053.938,57,9,6,6,Benton,9,7W,Benton,Benton County,2014,27,4,9,"$613,163,109.00 ",$686.00 ,38980,21442,853,$17.39 ,$18.16 ,0.92,43.3,21.9,43,20135,3740,38980,21442,853,30940,14.88,25.13716295,$2.13 ,1,$14.88 ,18.15656621,17.15,28.9329941
40,1368500000,196105.844,63,11,7,7,Big Stone,11,6W,Big Stone,Big Stone County,2014,27,4,11,"$59,354,369.00 ",$649.00 ,5180,2536,58,$16.47 ,$17.07 ,0.63,23.7,11.2,24,2445,325,5180,2536,58,30864,14.84,43.72413793,$1.16 ,1,$14.84 ,17.07209279,16.225,23.67301264
68,1982400000,222718.984,93,13,8,8,Blue Earth,13,9,Blue Earth,Blue Earth County,2014,27,4,13,"$1,479,447,172.00 ",$747.00 ,64720,38059,1047,$18.43 ,$19.16 ,0.72,29.2,16.2,29,36230,7270,64720,38059,1047,22893,11.01,36.35052531,$6.99 ,1,$11.01 ,19.16354493,18.675,29.16627936
65,1601600000,225407.125,90,15,9,9,Brown,15,9,Brown,Brown County,2014,27,4,15,"$501,360,720.00 ",$712.00 ,25513,14104,397,$18.45 ,$19.36 ,0.72,29.4,15.6,29,13950,2030,25513,14104,397,28251,13.58,35.52644836,$4.42 ,1,$13.58 ,19.36187547,17.8,29.41001185
23,2265000000,194820.203,46,17,10,10,Carlton,17,3,Carlton,Carlton County,2014,27,4,17,"$541,564,407.00 ",$761.00 ,35430,17309,376,$16.88 ,$17.56 ,0.7,23.4,10.6,23,16325,3040,35430,17309,376,29667,14.26,46.03457447,$2.74 ,1,$14.26 ,17.56130675,19.025,23.3549587
53,973530000,156227.625,77,19,11,11,Carver,19,11,Carver,Carver County,2014,27,4,19,"$1,793,325,363.00 ",$947.00 ,94212,53443,2296,$20.00 ,$20.84 ,1.41,45.1,24.4,45,48275,16705,94212,53443,2296,42400,20.38,23.27656794,($0.38),0,$20.38 ,20.83849526,23.675,45.11693327
16,6249400000,463400.094,31,21,12,12,Cass,21,5,Cass,Cass County,2014,27,4,21,"$272,729,670.00 ",$526.00 ,28499,13254,631,$17.43 ,$17.72 ,0.95,52.1,22.1,52,12360,2610,28499,13254,631,25403,12.21,21.00475436,$4.79 ,1,$12.21 ,17.71957046,13.15,52.05216279
